userName,screenName,userID,userLocation,user_descrip,user_url,followers,friends,user_ctime,source,post_time,tweet_id,tweet_text,favorite_count,retweet_count
Convenience Store News.,CStoreNews_,156666863,ORD ,Top Convenience Retail Influencer Millions of Views Marketing Data Data Grocery Food Service Data Gas Pricing Data Beverage Data Tobacco Data. DM For Removal,,43224,47652,2010-06-17 15:20:29+00:00,Twitter for iPhone,2022-09-26 23:59:59+00:00,1574549376025755648,Get lost Hurricane Ian https://t.co/xsY8JlKe8h,3,0
Andrea Smith 🌊🐝🐶🐱🌱💙,dogparkgal,1509146276461531137,"Florida, USA","Starting over after a hack. Was @dogparkgoddess Democracy will prevail. The GQP is trash, arrest them all.",,2456,3467,2022-03-30 12:31:39+00:00,Twitter for Android,2022-09-26 23:59:58+00:00,1574549371961544704,"@SunnyPete6760 Wish us well during Hurricane Ian! 
Hey buddy! 😊",0,0
Sicilian-ShaSha 🇺🇸,shash1960,1220870146039975936,,American/Italian 🇺🇸🇮🇹 #MAGAAMERICAN 🇺🇸,,307,333,2020-01-25 00:45:06+00:00,Twitter for iPhone,2022-09-26 23:59:56+00:00,1574549362314723331,"Stressed about Hurricane Ian,seriously don’t want to leave my home to evacuate, but will have no choice. Tomorrow I know I’ll get the order, Zone B. I evacuated for Irma, much has change for me in 5 yrs, seems overwhelming now. One thing, I’m blessed to have family to go to. https://t.co/cVfqjszxJN",0,1
Villain Character Development 🔜 Confuror 2022,KingOfFoxxes,1054890619867410433,"Baja California, México",| 21 Y.O | Mexican 🇲🇽 | Coffe Boi ☕️ | ♣️ Life is a Gamble ♦️ | Any pronouns | DM Open! | Vent Account: @AngryCheeseBoy | Myosotis 🌸,,270,1186,2018-10-24 00:21:37+00:00,Twitter for Android,2022-09-26 23:59:54+00:00,1574549355977023488,"RT @_chaibear: ppl really telling me to ""be careful"" for hurricane ian as if i havent spent hundreds of hours playing natural disaster surv…",0,1
James Cooper,stratosphere53,50626909,Atlanta,Air Force Brat /  Vietnam veteran  /  Customer service in Insurance and Air conditioning  /  Cisco Networking student /  sixty-one years old but look forty,http://t.co/5gcImzgdlS,229,582,2009-06-25 12:06:55+00:00,Twitter Web App,2022-09-26 23:59:54+00:00,1574549355176001542,RT @stratosphere53: Canada counts damage after Fiona; Cuba and Florida brace for storm Ian - Breitbart https://t.co/Wk7hVAu6nf via @Breitba…,0,1
June Nelson,SaboJune,2574181185,Tampa,"Tampa HR Professional, Dog Lover, Horse Obsessed, Advocate of Democracy. #Resist #FBR",,4075,4041,2014-05-31 18:06:17+00:00,Twitter for iPhone,2022-09-26 23:59:53+00:00,1574549352449654785,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
bruce bradbury,bradbury1958,1053472142,,"Green Bay Packer fan. If they want a cold weather site for Super Bowl, why not Lambeau Field, just leave the trophy",,587,1258,2013-01-01 20:56:58+00:00,Twitter for iPad,2022-09-26 23:59:53+00:00,1574549350012813319,"RT @LeaderBookFL: Hurricane Ian is rapidly intensifying and will likely be a major hurricane in just several hours. 

The time to prepare i…",0,60
maryemma,maryemma41,1678901684,South Jersey (the shore),,,234,531,2013-08-17 18:43:54+00:00,Twitter for Android,2022-09-26 23:59:52+00:00,1574549345428439058,My son is being evacuated back to Virginia due to Ian the hurricane. 🌀 He's leaving Georgia now.  Safe travels. Be safe.  I Love You ❤️ God keep him safe🙏🙏,54,3
Michael Blake,mblake,6836092,,"Husband, Dad, Data geek, programmer, guitar player. he/him Born at 320 ppm",,758,4858,2007-06-15 15:34:17+00:00,Twitter Web App,2022-09-26 23:59:50+00:00,1574549338935926785,"RT @CharlieCrist: Florida, please take Hurricane Ian seriously. 

Listen to our local authorities and make a plan. https://t.co/jbbBCUvxis",0,637
erika petersen,eapmd03,25051355,United States,Neuromodulation. neurosurgery. resident education. Living in a blue zip code in a red state.,,285,1639,2009-03-18 09:54:29+00:00,Twitter for iPhone,2022-09-26 23:59:49+00:00,1574549334468722692,RT @richschellhase: New #GFS #IAN model run is basically Katrina level bad for Tampa if it verifies….would be 24-36 hours of hurricane wind…,0,6
Gradient Lens 💙💛,WattysMom19,1347641945150140419,,"Eclectic interests, not trying to cause controversy.  Just looking for there to be harmony.",,104,146,2021-01-08 20:32:16+00:00,Twitter for Android,2022-09-26 23:59:48+00:00,1574549331192971264,"RT @HoundsInPounds: 🚨 If you are in the path of Hurricane Ian, please write your pet's name and your phone number with a permanent marker o…",0,931
Ind_Pens4 ☮️🌻🇺🇦,IndPens4,1496992876697468931,,"Voter. Traveler. Thinker.
Truth Matters. Rule of Law Matters. Words Matter.
#BodilyAutonomy #Roevember",,424,1222,2022-02-24 23:39:24+00:00,Twitter Web App,2022-09-26 23:59:48+00:00,1574549329292951555,"RT @RedaMor_: BREAKING: National Weather Service has issued a Hurricane Warning and Storm Surge Warning for Tampa Bay. 

I am in Tampa Bay…",0,188
Alexis Moser,VMHSeagles_05,3322731511,"Corpus Christi, TX",huge Chicago Cubs World Series fan 2019 graduate at VMHS love Anthony Rizzo and Kris Bryant. GO CUBS GO!!!!!! #9 Chase Elliott GO PACK GO,,144,1678,2015-08-21 19:37:38+00:00,Twitter for iPhone,2022-09-26 23:59:48+00:00,1574549328890417157,"RT @ryanhallyall: Hurricane Ian is continuing to gain strength. On its approach to Florida, I’ll be doing several hours of live coverage on…",0,68
Payton Malone WWL-TV,paytonmalonewx,833520575045894146,"New Orleans, LA",@WWLTV CBS Morning Meteorologist in New Orleans • University of Oklahoma • Baking & Photography for Fun,https://t.co/wDfyu7MGgK,7455,810,2017-02-20 03:36:05+00:00,SocialNewsDesk,2022-09-26 23:59:47+00:00,1574549326977814528,Here is the latest on #Ian. More information here: https://t.co/WrsMsSPKpH #BeOn4 #tropics @wwltv https://t.co/CYfC7fdi9D,5,0
Chris Franklin WWL-TV,CJohnFranklin,252212762,New Orleans,Chief Meteorologist @wwltv @CBS in #NewOrleans. Following & posting about #weather #climate #science #history  #geography. Proud father of Henry and Lucy!,https://t.co/IgurmofPp5,7081,1702,2011-02-14 18:43:51+00:00,SocialNewsDesk,2022-09-26 23:59:47+00:00,1574549326734426114,Here is the latest on #Ian. More information here: https://t.co/WyHASQn08Y #BeOn4 #tropics @wwltv https://t.co/W5vZhM0saa,1,0
Michelle Morgan,wxmichellemor,3794230096,New Orleans,"Meteorologist at @WWLTV, CBS New Orleans. Opinions are my own. Retweets are not endorsements.",,1932,632,2015-09-27 15:34:34+00:00,SocialNewsDesk,2022-09-26 23:59:47+00:00,1574549326549995520,Here is the latest on #Ian. More information here: https://t.co/CYxkhz2WwW #BeOn4 #tropics @wwltv https://t.co/Saw7e81gni,0,0
WWL-TV Weather,wwltvweather,62325906,"New Orleans, LA, USA",Your Local Weather Experts for Southeast Louisiana. @WWLTV,https://t.co/O51KCiKSEP,17874,137,2009-08-02 19:06:29+00:00,SocialNewsDesk,2022-09-26 23:59:47+00:00,1574549326193459200,Here is the latest on #Ian. More information here: https://t.co/G3ef069Y9l #BeOn4 #tropics @wwltv https://t.co/E8aemu49PJ,0,2
WDBJ7 Weather,WDBJ7Weather,21671311,"WDBJ7 Television Roanoke, VA","Meteorologists Brent Watts, Leo Hirsbrunner, Christian Johansen, and Catherine Maxwell are behind WDBJ7Weather Tweets.",https://t.co/mxy0vyI6bf,22095,646,2009-02-23 17:26:44+00:00,SocialNewsDesk,2022-09-26 23:59:46+00:00,1574549322565287952,Here's the latest update on IAN from the National Hurricane Center.  Join us for the latest analysis on-air and on the WDBJ7 Weather App. https://t.co/ZPQQTKWptG,2,1
Old Man Dan,notsoyounggrunt,2531338800,"Durham, NC","ECU Pirate & Maritime History Major. bulldogs, Marines, cannons and ships, travel the world, swim in the ocean, talk politics, history, and religion.",,3668,3548,2014-05-29 02:14:50+00:00,Twitter for Android,2022-09-26 23:59:46+00:00,1574549322095476736,"RT @SmithBlindlib5: Ian path similar to 2004's Hurricane Charley. Been there, done that! https://t.co/ZXCR41Ezsv",0,1
PaleBlueDot14,Dot14Blue,1135240875368472576,"Alabama, USA",Hey y’all | Take everything I say with a grain of salt | #whodat | Roll Tide Roll | kindly RT my pinned | no pressure but I follow back,,715,2937,2019-06-02 17:44:51+00:00,Twitter for iPhone,2022-09-26 23:59:46+00:00,1574549320732377092,"RT @fsugarnetgold: With the panic around the developing Hurricane Ian, I would like to remind everyone to consider Middle Tennessee when pl…",0,1476
Kayla Owens,kaylajonas_,2724653591,"Nashville, TN",TN.,,486,379,2014-07-25 23:58:36+00:00,Twitter for iPhone,2022-09-26 23:59:46+00:00,1574549320233254928,"RT @fsugarnetgold: With the panic around the developing Hurricane Ian, I would like to remind everyone to consider Middle Tennessee when pl…",0,1476
JudgyPantsJesse,JesseeWeirdo,1109846277934583808,"California, USA","Professional booze slinger, father, guitarist, and liberal joker🤘🏻 https://t.co/iTXx901NV7",,1106,1142,2019-03-24 15:55:47+00:00,Twitter for iPhone,2022-09-26 23:59:46+00:00,1574549319549452288,RT @TheCiscoKidder: They should rename hurricane Ian to hurricane Lorena cuz it's about to cut off America's dick.,0,68
Joey Gritz and Shadow,JosephRizzuto17,1545489912048353281,"Florida, USA","Trump hater. Veterans against Trump. Loving Dad, Grandad, Greatgrandad, Animaluvr .(formerly Joey Gritz)😎💙🇺🇸🐊🌴🐬👍💕🌹🐾",,912,1960,2022-07-08 19:29:20+00:00,Twitter for Android,2022-09-26 23:59:46+00:00,1574549319058849811,"BBC News - Florida braces for 'strengthening' Hurricane Ian
https://t.co/NSXCJfi4f0",0,0
Mr. K!,tkhs_mrk,810091724,"Orlando, FL",Math Teacher! | FL #NEA Director | Proud FSU Alumni! - My tweets are my own,,765,969,2012-09-08 03:24:41+00:00,Twitter for iPhone,2022-09-26 23:59:45+00:00,1574549318136102925,RT @madteamichelle: hurricane Ian is coming? he doesn’t have a park reservation,0,374
WCTV First Alert Weather,WCTVFirstAlert,334098402,"Tallahassee, FL","@WCTV's First Alert Weather Team covering the Big Bend & South Georgia. 

Disclaimer: Contains automated tweets.",https://t.co/NgPbJweOpS,4680,22,2011-07-12 15:38:31+00:00,SocialNewsDesk,2022-09-26 23:59:45+00:00,1574549315837566977,Here is the latest advisory and forecast for #IAN from the National Hurricane Center. https://t.co/GXuBgPz06g,4,1
Celeste Mark,birdgirl1107,2175202292,,,,31,147,2013-11-05 02:45:13+00:00,Twitter for iPhone,2022-09-26 23:59:45+00:00,1574549315082940416,RT @bill_line: GOES-East 30-sec visible imagery view of Hurricane Ian center of circulation during a 90-min period this evening (9/26). htt…,0,24
EDWARD CUTLER,EDWARDCUTLER2,1397156081110036483,"Tampa, FL",Retired CPA/Tax Consultant Stage IV NSCLC Survivor #Advocate Husband/Father/Grandfather @MoffittNews @LUNGevity @theWRP4LC #thewhiteribbonproject,,171,174,2021-05-25 11:43:51+00:00,Twitter for iPhone,2022-09-26 23:59:44+00:00,1574549311962042368,"We are carefully watching Hurricane Ian. We may be right in the path of the eye.  We live in a flood zone and a mandatory evacuation has been ordered, commencing tomorrow. We’ve already made plans to leave in the morning to higher ground. 1/",14,0
David Ullrich,DavidUllrich202,1522698175076777985,"Wisconsin, Greenbay","""Those that are enlightened before the others are condemned to pursue that light in spite of the others.” — Christopher Columbus",,712,1828,2022-05-06 22:02:18+00:00,Twitter Web App,2022-09-26 23:59:43+00:00,1574549309986512896,"RT @EliotJacobson: I am so sorry for the suffering hurricane Ike will cause for humans &amp; other living things, but the sooner nature takes d…",0,11
Medalys Berrios,vw_scarlett,37401780,"Orlando, FL","Socialize with compassion, kindness and grace.",,68,347,2009-05-03 11:18:58+00:00,Twitter for iPhone,2022-09-26 23:59:43+00:00,1574549309567148032,"RT @OCPSnews: *Hurricane Ian Update* Tomorrow, all after school extracurricular activities are canceled except for extended day. Wed. &amp; Thu…",0,140
Sandy Burson,sburson85,26438914,"Ottawa, KS",,,24,97,2009-03-25 05:31:39+00:00,Twitter for Android,2022-09-26 23:59:41+00:00,1574549299157168128,"As the sun sets it's apparent that #Hurricane #Ian  continues to strengthen, those tops are getting pretty high up there!  #GOES16",0,0
James Cooper,stratosphere53,50626909,Atlanta,Air Force Brat /  Vietnam veteran  /  Customer service in Insurance and Air conditioning  /  Cisco Networking student /  sixty-one years old but look forty,http://t.co/5gcImzgdlS,229,582,2009-06-25 12:06:55+00:00,Twitter Web App,2022-09-26 23:59:41+00:00,1574549298691198977,Canada counts damage after Fiona; Cuba and Florida brace for storm Ian - Breitbart https://t.co/Wk7hVAu6nf via @BreitbartNews,0,1
#BLM #BIPOC 🇺🇸🇨🇴,mchianyc,466058248,,"PhD, Buffs, Violets, Terps, Fulbright #ClimateChange #BLM #PDXprotests #Anti-fascists",,243,628,2012-01-17 01:04:25+00:00,Twitter for iPhone,2022-09-26 23:59:41+00:00,1574549297969913856,RT @tomaskenn: Hurricane Ian hasn't fully passed over Cuba and Miami is already overwhelmed by the rainfall and there is flooding all over…,0,438
Tony Aaron II,TonyAaronII,62353949,"Golden, CO",Social justice movie studio owner. He/Him. #BlackLivesMatter #ProportionalRepresentationNow #BanGunsNow #VoteBlack #Liberal #MeToo #LGBTQIAAlly #Atheist,https://t.co/MBnqUR8Nol,2448,1815,2009-08-02 21:24:08+00:00,Twitter for Android,2022-09-26 23:59:40+00:00,1574549297940422656,"RT @AaronParnas: As someone who wanted to be a meteorologist growing up, I have been following hurricanes closely for more than a decade.…",0,224
Andy Wade,AWade10,270510371,"Norman, OK",Christian. @h_dawn14's. ⛈.🌪. @PBthePug. #BoomerSooner.,,540,728,2011-03-22 19:09:03+00:00,Twitter for iPhone,2022-09-26 23:59:39+00:00,1574549292609523712,"RT @bryanwx: Flying into TPA really gives you an idea how flat the area is. So many buildings, roads, infrastructure sitting at or near sea…",0,77
islandives,islandives,18201191,Maldives,on the edge,https://t.co/iukcEA0UaU,360,1388,2008-12-17 21:59:51+00:00,Twitter Web App,2022-09-26 23:59:39+00:00,1574549292211064832,"RT @MailOnline: 'Leave now, do not wait': Floridians are ordered to evacuate before 'storm of the century' Hurricane Ian makes landfall htt…",0,34
William Cole🌪,TXWXTracker,153259659,"Dallas, TX","U.S. Navy Vet 🇺🇸|Owner Weather Tracker TV - NYC, DAL, CHI & LA. Download my Free Weather Apps. Add our Live channels to your Roku, Apple & Amazon Fire TV.",https://t.co/tv1M7oAbiD,20794,254,2010-06-08 02:44:57+00:00,txwxtv wordpress,2022-09-26 23:59:38+00:00,1574549286817128449,National Hurricane Center Update on Ian - https://t.co/M2HxnXEHUA  #dfwwx #txwx https://t.co/1JaxcWaV90,1,3
Azure Sentry,AzureSentry,1170380690631868418,,Naval engineer. AOE2 enthusiast. Amateur SciFi writer.,,5,155,2019-09-07 16:58:07+00:00,Twitter for Android,2022-09-26 23:59:36+00:00,1574549278160146433,"RT @lorengrush: Bad News: NASA is rolling back the SLS ahead of Hurricane Ian, further delaying Artemis I
Good News: NASA will let out its…",0,894
Gilda Cobb-Hunter,GCobbHunter,2233944943,Orangeburg SC ,"wife, social activist, proud liberal, lover of oceans and all things water, social worker, legislator and #rattler4life #FAMU, Past President @NBCSLNews",,6545,322,2013-12-07 04:32:01+00:00,Twitter for Android,2022-09-26 23:59:34+00:00,1574549269310210069,"RT @HBCUSports1: Ian Projected to hit landfall as Cat 3 Hurricane Friday morning Tallahassee area
* Florida A&amp;M University Coach Willie Sim…",0,10
Laurie Baker☮️🇺🇦,sorrylou1980,838744370362765312,"California, USA","Lifelong liberal, progressive Christ follower who believes in social justice, and sometimes uses bad words",,165,521,2017-03-06 13:33:35+00:00,Twitter for iPad,2022-09-26 23:59:33+00:00,1574549267624009728,RT @7Veritas4: Hurricane Ian is projected to be the worst disaster to hit Florida since its current governor.,0,1645
"Ryan Hall, Y’all",ryanhallyall,19133833,"Kentucky, USA",The Internet's Weather Man | YouTuber | Dad,https://t.co/0oovOeJabb,97132,1077,2009-01-18 02:47:48+00:00,Twitter for iPhone,2022-09-26 23:59:32+00:00,1574549263605854210,"Hurricane Ian is continuing to gain strength. On its approach to Florida, I’ll be doing several hours of live coverage on YouTube. 

We’ve got a team of chasers &amp; a plethora of stationary weather monitoring stations along the coast thanks to @RadarOmega 

Stay tuned for times. https://t.co/NNq1yROdwI",490,68
🇺🇦Bryan (read pinned tweet!),BryanWinsAgain,1051635258494316544,,"If you want to plant thousands of trees, download the Ecosia search engine through the link below. They plant trees whenever you click on advertisements!🌲🌳👇",https://t.co/B1HHx05pqA,13569,12852,2018-10-15 00:45:58+00:00,Twitter Web App,2022-09-26 23:59:32+00:00,1574549261953699842,RT @tropicalupdate: An afternoon look at Hurricane Ian. Pressure down to 978. Satellite here puts into perspective how big it is compared t…,0,290
Idiocracy@itsBest 🌊🌊,respectLost58,819323682376060928,"Brooklyn, NY",🌊🌊🐳🌈🌈 #Resist #VoteBlueNoMatterWho #ClimateChange #EPA #protectwildlife #TraitorTrump NO Lists please!,,4104,4234,2017-01-11 23:22:42+00:00,Twitter Web App,2022-09-26 23:59:31+00:00,1574549258115883010,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Pandora,ChynnaLied,1336898513163218944,Mt. Olympus,"Epimetheus never understood me. Horrible things flew out of the box including greed, envy, hatred, pain, disease, hunger, poverty, war, and death.",,16,55,2020-12-10 05:01:24+00:00,Twitter for iPhone,2022-09-26 23:59:30+00:00,1574549255146307585,"RT @FLSERT: 🚨 Mon. 9/26/22, 7:30PM EST: Hurricane warnings are in effect for Hillsborough, Manatee, Pinellas &amp; Sarasota counties. Hurricane…",0,106
Emma,ChromaRushFan,1472082482296082435,She/Her,"the silly girl

❤ @ZephyrNights ❤",https://t.co/x6miwi7oXA,104,120,2021-12-18 05:53:16+00:00,Twitter for Android,2022-09-26 23:59:29+00:00,1574549251387949062,RT @Ironik0422: I didn't know there was a hurricane so I thought Ian from smosh was terrorizing the entirety of fucking Florida,0,2486
Oksana Yonan,1Truthkeeper,330576715,,"Artist, writer, work for the greater good of all. Beauty, Compassion & Justice matter.",,616,2278,2011-07-06 20:44:24+00:00,Twitter Web App,2022-09-26 23:59:28+00:00,1574549244052066304,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Maureen McKeon,MaureenMMcKeon,1322494848457428992,NY Capital District,"Facts, & truth, matter. Just like every human life.
Personality aside, Donald Trump was one of the most effective presidents in U.S. history.
https://t.co/YHv9OSIE5c",,231,27,2020-10-31 11:05:26+00:00,Twitter Web App,2022-09-26 23:59:27+00:00,1574549241514557445,"RT @GovRonDeSantis: As Hurricane Ian increases in strength to a Category 2, tropical storm, hurricane and storm surge watches and warnings…",0,598
Billy,Billy1563,1471592717994151938,,,,3,23,2021-12-16 21:27:15+00:00,Twitter for iPhone,2022-09-26 23:59:27+00:00,1574549239832641552,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Charleston Weather,chswx,14290018,"Charleston, South Carolina","Weather for the Charleston, SC Tri-County area (Berkeley, Charleston, Dorchester) by @jaredwsmith. WRN Ambassador. Support my work: https://t.co/gPZPpATyuZ",https://t.co/dzAt2G4G9X,53567,262,2008-04-03 03:28:22+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234296115200,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/Es6IxcmkVj,1,0
Michael WX,DMV_Spotter_WX,1260239335846219777,"Loudoun County, VA",• 16 • @NWS_BaltWash SKYWARN® spotter • iembots • Retweets • #RavensFlock • #GeauxTigers • #Hokies • #F1 • #FansLikeNoOther 🧡 • #Birdland • 🇺🇲 •,https://t.co/iuNpMsZyvB,1381,1529,2020-05-12 16:04:18+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234266697729,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/J2320klUH9,0,0
Howard Bernstein,hbwx,63149389,"Washington, DC","I'm a meteorologist, husband, father, hockey coach. I love my wife, my son, my dog, hockey, skiing, movies and I am an avid do-it-yourselfer!",https://t.co/vv0wb1bbgo,13358,1758,2009-08-05 14:38:33+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234195476481,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/kIgJM4jVAS,0,0
Cody Brock,cody_brock19,2404940766,"Big Clifty , Kentucky ","I’m a @k105radio Digital Production Crew Member and A @NWSLouisville SKYWARN Spotter, Love Being Outdoors!#GoCougs",https://t.co/mPW23CalSc,382,2914,2014-03-22 19:21:29+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234191253504,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/mRf8wIg1Ev,0,0
Midwest Weather,MidwestWeather3,1299757001740816391,United States of America,,https://t.co/W8xIteAvy7,282,31,2020-08-29 17:13:24+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234174504960,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/g0GkdQHhMQ,0,0
USA Severe Weather,severeweather14,1285724631064883202,,"Severe weather and hurricane enthusiast, follow for latest weather info, NWS alerts, and polls! #wxtwitter #HurricaneSeason2022",,765,2097,2020-07-21 23:54:01+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234166079489,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/SzI4KXHTBt,0,0
Midlands Weather,Midlands_Wx,3255043846,"Columbia, SC","All hazards #weather coverage for the #Columbia, #SouthCarolina area. Richland & Lexington county. WRN Ambassador. @PalmettoChasers partner.",https://t.co/vpOqWxQnus,2757,312,2015-05-15 01:19:37+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234161893376,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/sx3pkQEuCB,0,0
Chikage Windler WX,ChikageWeather,366285759,"Austin, TX",@CBSAustin Chief Meteorologist | Mom | Marathoner |  https://t.co/0rkT7EWcxE… | https://t.co/kc70G5bFKz,https://t.co/VPDeua0y20,11093,3069,2011-09-01 22:24:59+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234140909569,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/ICYTyqEIcW,1,0
IEMBot NHC,iembot_nhc,36502001,,,,1000,0,2009-04-29 22:21:59+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234128338944,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/S1Hwevnoro,1,1
Grayson Co. Weather,grayson_weather,1014150877337309184,"Leitchfield, KY",Turn on Notifications for Weather Updates,https://t.co/eY5GZPV7dE,210,193,2018-07-03 14:16:25+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234065362944,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/iqKDp8XjKj,0,0
"NC Weather Happens, LLC",ncwxhappens,2959381047,"Thomasville, NC",Providing Weather News and Information for NC.,https://t.co/sQ6vEAivb4,352,152,2015-01-04 00:28:41+00:00,iembot,2022-09-26 23:59:25+00:00,1574549234015051777,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/IwnpxY1xwI,0,0
Evan O'Brien 🇺🇦,stateofhockey99,778949944350613504,"Chanhassen, MN",Weather enthusiast. #wxtwitter Skywarn Trained Weather Spotter @NWSTwinCities. Spotter Network. 20. 🏳️‍🌈,,1614,1664,2016-09-22 13:31:53+00:00,iembot,2022-09-26 23:59:25+00:00,1574549233927012353,Hurricane #Ian Intermediate ADVISORY 15A issued. https://t.co/qlZPH3h0vx,0,0
Growing Family,familygrowing1,796461123738497026,,I’m here to resist. Trump is repulsive.,,3909,4204,2016-11-09 21:15:04+00:00,Twitter for iPhone,2022-09-26 23:59:23+00:00,1574549222757498880,"RT @StephenKing: They can knock an asteroid off course, but not Hurricane Ian. Boo.",0,1903
Maria Schenetzke,MariaSchenetzke,965384533376995329,"Little Rock, AR",Politics World News,,2252,2219,2018-02-19 00:36:23+00:00,Twitter for iPhone,2022-09-26 23:59:23+00:00,1574549222493278208,"RT @CharlieCrist: As Hurricane Ian rapidly approaches our state, it's important to make preparations now to protect yourself and loved ones…",0,590
Get This Guy A Puppers,bk1133,302225782,"Akron, OH",Letterkenny Chirping 🇨🇦🇺🇸🇺🇸🇺🇸 🇺🇦 🇺🇦🇺🇦🇺🇦Blue wave 🌊 🌊🌊🌊 Vote Blue! Go Blue! Michigan 🏈🏈🏈🏈 Eff Drumpf,https://t.co/bjjwqniPy3,3321,4118,2011-05-20 20:35:02+00:00,Twitter for iPhone,2022-09-26 23:59:20+00:00,1574549211135488000,Who property do you want impacted the most from hurricane Ian,10,3
shopcarryononly,shopcarryononly,902662481805328384,Golden State,"Travel Accessories + Apparel
that Feed Your Wanderlust #carryononly #feedyourwanderlust 🛫🌎🌍🌏🛬",https://t.co/Hzy1jHplo6,17,7,2017-08-29 22:41:21+00:00,IFTTT,2022-09-26 23:59:18+00:00,1574549205569282048,Latest Updates on Hurricane Ian’s Impact on Travel https://t.co/6PASkTe8pI https://t.co/PzXffWHSul,0,0
Neal Cox,nealcox1234,946099023500296192,"A Place, USA","Christian theologian, gardener, bee keeper, farmer, husband, father, friend:",,184,165,2017-12-27 19:22:39+00:00,Twitter Web App,2022-09-26 23:59:18+00:00,1574549204063596545,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Matt,sportsfan702,276675780,,"Just your everyday man who works in a gas station. Coffee Connoisseur. @baseballpackers is my baby sister, issues come to me.",,1257,4539,2011-04-03 21:15:42+00:00,Twitter for iPhone,2022-09-26 23:59:16+00:00,1574549194295025664,"RT @MorganKIRO7: Hurricane Watch upgraded to Hurricane Warning for parts of Florida's west coast, including Tampa Bay. #Ian",0,2
PanthersFan_inAfrica,PanthersFan_Afr,747835774897360896,West Africa,Love God. (He loved me first!)  Love Africa.  Love the Panthers.  Love playing with data.  Some call me the Panthers stat lady.,,1261,1210,2016-06-28 16:55:17+00:00,Twitter for Android,2022-09-26 23:59:14+00:00,1574549185390575621,RT @bryanwx: Anticipated slow down in Hurricane Ian’s speed near Tampa is not good. More rainfall leading to more inland flooding. Prolonge…,0,4
Jean,Jean40402780,796470309620772864,,💙💛💙💛 Support the BRF. Vote BLUE. 💙💙💙,,584,813,2016-11-09 21:51:34+00:00,Twitter for iPhone,2022-09-26 23:59:13+00:00,1574549184346136576,RT @7Veritas4: Hurricane Ian is projected to be the worst disaster to hit Florida since its current governor.,0,1645
Eugene King,etking815,559065572,,,,38,35,2012-04-21 00:47:19+00:00,Twitter Web App,2022-09-26 23:59:13+00:00,1574549183138234373,RT @NoUseForTrump: Isn't it interesting that Joe Biden immediately granted Florida's request for emergency funds for Hurricane Ian without…,0,4034
Jennifer,Jennife80131033,1267928184286306304,"New York, USA",,,90,498,2020-06-02 21:17:07+00:00,Twitter for iPhone,2022-09-26 23:59:12+00:00,1574549177807572992,RT @NoUseForTrump: Isn't it interesting that Joe Biden immediately granted Florida's request for emergency funds for Hurricane Ian without…,0,4034
MAGA American Bob,RobertWoodham2,789998025653547009,"Albany, GA","If you label me you will be wrong. Professional hard worker, troll and do-gooder. Don't like what I say? Stop listening, and shut up.",,1504,3286,2016-10-23 01:13:01+00:00,Twitter Web App,2022-09-26 23:59:11+00:00,1574549173290008589,RT @yohiobaseball: .@TheLastRefuge2 Mandatory evacuation ordered for Tampa area as Hurricane Ian approaches https://t.co/mqWB6f6rSv,0,27
rick j,TheWax73,2796335184,,,,32,4,2014-09-07 17:57:18+00:00,Twitter for Android,2022-09-26 23:59:11+00:00,1574549173004746752,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
